Brand,BatterySize,AccelSec,TopSpeed,Range_Km,Efficiency_WhKm,ChargeSpeed,PowerTrain,Seats,Price
Tesla,200,2.1,410,970,206,920,AWD,4,215000
Tesla,90,2.6,262,455,198,680,AWD,7,116990
Porsche,84,2.8,260,390,215,860,AWD,4,186336
Porsche,84,2.9,250,380,220,790,AWD,4,187746
GMC,200,3,200,329,267,100,AWD,5,108700
Tesla,200,3,210,750,267,710,AWD,7,75000
Lucid,110,3.2,270,660,167,1380,AWD,5,140000
Tesla,90,3.2,250,555,162,830,AWD,5,86990
Porsche,84,3.2,260,400,209,840,AWD,4,153016
Tesla,76,3.3,261,470,162,790,AWD,5,58560
Audi,85,3.3,250,405,210,810,AWD,4,138200
Porsche,84,3.3,250,385,217,800,AWD,4,154444
Lucid,85,3.4,250,530,160,1390,AWD,5,95000
Kia,77,3.5,260,395,196,920,AWD,5,65990
Tesla,76,3.7,241,430,177,720,AWD,7,66965
Tesla,90,3.9,250,475,189,710,AWD,7,95990
BMW,81,3.9,225,450,179,630,AWD,5,69900
Porsche,71,4,250,375,189,750,AWD,4,106487
Porsche,84,4,250,435,192,910,AWD,4,113008
Audi,85,4.1,245,420,202,840,AWD,4,99800
Porsche,84,4.1,240,405,207,850,AWD,4,111842
Lucid,85,4.2,200,540,157,1410,RWD,5,80000
Mercedes,108,4.3,210,610,177,800,AWD,5,135529
Tesla,70,4.4,233,455,154,570,AWD,5,46690
Ford,88,4.4,200,410,215,400,AWD,5,59995
Tesla,76,4.4,233,490,155,820,AWD,5,53560
Audi,87,4.5,210,320,270,510,AWD,5,93800
Audi,87,4.5,210,335,258,540,AWD,5,96050
BMW,105,4.6,200,505,208,620,AWD,5,98000
Volvo,75,4.7,180,340,221,440,AWD,5,62050
Polestar,75,4.7,205,395,190,510,AWD,5,52500
Jaguar,85,4.8,200,365,232,340,AWD,5,77300
MG,65,4.9,200,330,197,380,AWD,5,50000
Volvo,75,4.9,180,340,221,440,AWD,5,59250
Tesla,120,5,190,460,261,710,AWD,7,55000
Nissan,87,5.1,200,385,226,460,AWD,5,65000
Mercedes,80,5.1,180,370,216,440,AWD,5,66069
Tesla,76,5.1,217,450,169,750,AWD,7,59965
Porsche,84,5.1,220,405,207,850,AWD,4,93635
Hyundai,73,5.2,185,370,196,860,AWD,5,59550
Hyundai,73,5.2,185,375,194,870,AWD,5,48900
Porsche,71,5.4,230,395,180,790,RWD,4,83520
Porsche,84,5.4,230,460,182,960,RWD,4,89244
Kia,77,5.4,185,410,189,950,AWD,5,56000
Byton,95,5.5,190,390,244,460,AWD,5,64000
Tesla,51,5.6,225,340,150,570,RWD,5,43560
Tesla,50,5.6,225,340,147,680,RWD,5,43560
Nissan,87,5.7,200,420,207,500,AWD,5,57500
Audi,87,5.7,200,365,237,590,AWD,5,81500
Audi,87,5.7,200,375,231,600,AWD,5,83750
Audi,87,5.7,200,375,231,600,AWD,5,69100
BMW,81,5.7,190,475,170,660,RWD,5,58300
Audi,87,5.7,200,365,237,590,AWD,5,62900
Ford,88,5.8,180,420,210,410,AWD,5,59995
Nissan,63,5.9,200,325,194,440,AWD,5,50000
Mercedes,67,6,160,350,190,420,AWD,5,56216
BMW,71,6.1,200,350,203,470,AWD,5,77300
Hyundai,58,6.1,185,305,190,710,AWD,5,45700
Skoda,77,6.2,180,395,195,480,AWD,5,50000
Mercedes,108,6.2,210,640,168,840,RWD,5,106374
Audi,77,6.2,180,385,199,470,AWD,5,53600
Audi,77,6.2,180,400,192,490,AWD,5,55600
Volkswagen,77,6.2,180,400,193,490,AWD,5,50415
Ford,68,6.3,180,330,206,360,AWD,5,54000
Mercedes,67,6.5,160,340,196,400,AWD,7,60000
CUPRA,58,6.6,160,345,168,430,RWD,5,39000
BMW,74,6.8,180,385,192,520,RWD,5,66300
Audi,65,6.8,190,280,231,470,AWD,5,69100
Audi,65,6.8,190,295,219,490,AWD,5,71350
Skoda,77,6.9,160,405,190,500,AWD,5,47000
BMW,38,6.9,160,230,165,260,RWD,4,42600
Ford,68,6.9,180,345,197,380,RWD,5,46900
Audi,77,6.9,180,385,199,470,AWD,5,50900
Ford,88,7,180,440,200,430,RWD,5,54475
Tesla,100,7,180,390,256,740,RWD,7,45000
CUPRA,77,7,160,450,171,550,RWD,5,43000
Volkswagen,58,7.3,160,350,166,440,RWD,5,36495
Opel,58,7.3,150,335,173,210,FWD,5,42990
Nissan,56,7.3,157,325,172,390,FWD,5,38350
BMW,38,7.3,150,235,161,270,RWD,4,39000
Mini,29,7.3,150,185,156,260,FWD,4,32500
CUPRA,58,7.3,160,350,166,440,RWD,5,36770
Hyundai,73,7.4,185,385,189,890,RWD,5,45100
Polestar,61,7.4,160,350,174,450,FWD,5,46500
Polestar,75,7.4,160,425,176,550,FWD,5,49500
Nissan,63,7.5,160,335,188,450,FWD,5,45000
Kia,77,7.5,185,420,184,980,RWD,5,54990
Byton,72,7.5,190,325,222,420,RWD,5,53500
Lexus,50,7.5,160,260,192,150,FWD,5,47550
Aiways,63,7.5,150,335,188,350,FWD,5,35993
Byton,95,7.5,190,400,238,480,RWD,5,62000
Nissan,87,7.6,160,445,196,530,FWD,5,50000
MG,49,7.7,185,295,165,340,FWD,5,26495
Mercedes,67,7.7,160,350,190,420,AWD,5,53538
MG,57,7.7,185,340,168,340,FWD,5,26495
Kia,64,7.8,167,370,173,350,FWD,5,39090
Kia,64,7.9,167,370,173,350,FWD,5,37790
Nissan,36,7.9,144,220,164,230,FWD,5,29990
Kia,64,7.9,167,370,173,350,FWD,5,36913
Hyundai,64,7.9,167,395,162,370,FWD,5,41850
